username,repo_name,stars,repo_url
mrdoob,three.js,86.8k,https://github.com/mrdoob/three.js
libgdx,libgdx,86.8k,https://github.com/libgdx/libgdx
pmndrs,react-three-fiber,86.8k,https://github.com/pmndrs/react-three-fiber
BabylonJS,Babylon.js,86.8k,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,86.8k,https://github.com/ssloy/tinyrenderer
aframevr,aframe,86.8k,https://github.com/aframevr/aframe
lettier,3d-game-shaders-for-beginners,86.8k,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,86.8k,https://github.com/FreeCAD/FreeCAD
CesiumGS,cesium,86.8k,https://github.com/CesiumGS/cesium
metafizzy,zdog,86.8k,https://github.com/metafizzy/zdog
timzhang642,3D-Machine-Learning,86.8k,https://github.com/timzhang642/3D-Machine-Learning
isl-org,Open3D,86.8k,https://github.com/isl-org/Open3D
a1studmuffin,SpaceshipGenerator,86.8k,https://github.com/a1studmuffin/SpaceshipGenerator
blender,blender,86.8k,https://github.com/blender/blender
domlysz,BlenderGIS,86.8k,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,86.8k,https://github.com/FyroxEngine/Fyrox
openscad,openscad,86.8k,https://github.com/openscad/openscad
spritejs,spritejs,86.8k,https://github.com/spritejs/spritejs
google,model-viewer,86.8k,https://github.com/google/model-viewer
jagenjo,webglstudio.js,86.8k,https://github.com/jagenjo/webglstudio.js
