username,repo_name,stars,repo_url
public-apis,public-apis,86.8k,https://github.com/public-apis/public-apis
neovim,neovim,86.8k,https://github.com/neovim/neovim
tiangolo,fastapi,86.8k,https://github.com/tiangolo/fastapi
strapi,strapi,86.8k,https://github.com/strapi/strapi
hoppscotch,hoppscotch,86.8k,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,86.8k,https://github.com/ocornut/imgui
slatedocs,slate,86.8k,https://github.com/slatedocs/slate
meilisearch,meilisearch,86.8k,https://github.com/meilisearch/meilisearch
hasura,graphql-engine,86.8k,https://github.com/hasura/graphql-engine
ccxt,ccxt,86.8k,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,86.8k,https://github.com/Binaryify/NeteaseCloudMusicApi
YMFE,yapi,86.8k,https://github.com/YMFE/yapi
Kong,insomnia,86.8k,https://github.com/Kong/insomnia
httpie,httpie,86.8k,https://github.com/httpie/httpie
encode,django-rest-framework,86.8k,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,86.8k,https://github.com/littlecodersh/ItChat
paularmstrong,normalizr,86.8k,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,86.8k,https://github.com/FallibleInc/security-guide-for-developers
microsoft,api-guidelines,86.8k,https://github.com/microsoft/api-guidelines
shieldfy,API-Security-Checklist,86.8k,https://github.com/shieldfy/API-Security-Checklist
