username,repo_name,stars,repo_url
dotnet,AspNetCore.Docs,86.8k,https://github.com/dotnet/AspNetCore.Docs
bitwarden,server,86.8k,https://github.com/bitwarden/server
aspnetboilerplate,aspnetboilerplate,86.8k,https://github.com/aspnetboilerplate/aspnetboilerplate
abpframework,abp,86.8k,https://github.com/abpframework/abp
nopSolutions,nopCommerce,86.8k,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,86.8k,https://github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,86.8k,https://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,86.8k,https://github.com/RicoSuter/NSwag
smartstore,SmartStoreNET,86.8k,https://github.com/smartstore/SmartStoreNET
JimBobSquarePants,ImageProcessor,86.8k,https://github.com/JimBobSquarePants/ImageProcessor
dotnet,aspnet-api-versioning,86.8k,https://github.com/dotnet/aspnet-api-versioning
serenity-is,Serenity,86.8k,https://github.com/serenity-is/Serenity
loic-sharma,BaGet,86.8k,https://github.com/loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-DotNet,86.8k,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
TrilonIO,aspnetcore-angular-universal,86.8k,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,86.8k,https://github.com/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,86.8k,https://github.com/MarimerLLC/csla
antonioCoco,SharPyShell,86.8k,https://github.com/antonioCoco/SharPyShell
riganti,dotvvm,86.8k,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,86.8k,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
