username,repo_name,stars,repo_url
ljianshu,Blog,86.8k,https://github.com/ljianshu/Blog
metafizzy,infinite-scroll,86.8k,https://github.com/metafizzy/infinite-scroll
developit,unfetch,86.8k,https://github.com/developit/unfetch
jquery-form,form,86.8k,https://github.com/jquery-form/form
olifolkerd,tabulator,86.8k,https://github.com/olifolkerd/tabulator
Studio-42,elFinder,86.8k,https://github.com/Studio-42/elFinder
ded,reqwest,86.8k,https://github.com/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,86.8k,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
elbywan,wretch,86.8k,https://github.com/elbywan/wretch
LeaVerou,bliss,86.8k,https://github.com/LeaVerou/bliss
wendux,ajax-hook,86.8k,https://github.com/wendux/ajax-hook
noelboss,featherlight,86.8k,https://github.com/noelboss/featherlight
craftpip,jquery-confirm,86.8k,https://github.com/craftpip/jquery-confirm
ptaoussanis,sente,86.8k,https://github.com/ptaoussanis/sente
nette,tracy,86.8k,https://github.com/nette/tracy
joaomilho,Enterprise,86.8k,https://github.com/joaomilho/Enterprise
loadingio,css-spinner,86.8k,https://github.com/loadingio/css-spinner
u014427391,jeeplatform,86.8k,https://github.com/u014427391/jeeplatform
k8w,tsrpc,86.8k,https://github.com/k8w/tsrpc
MoOx,pjax,86.8k,https://github.com/MoOx/pjax
