username,repo_name,stars,repo_url
jwasham,coding-interview-university,86.8k,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,86.8k,https://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,86.8k,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,86.8k,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,86.8k,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,86.8k,https://github.com/kdn251/interviews
azl397985856,leetcode,86.8k,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,86.8k,https://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,86.8k,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,86.8k,https://github.com/youngyangyang04/leetcode-master
halfrost,LeetCode-Go,86.8k,https://github.com/halfrost/LeetCode-Go
crossoverJie,JCSprout,86.8k,https://github.com/crossoverJie/JCSprout
huihut,interview,86.8k,https://github.com/huihut/interview
donnemartin,interactive-coding-challenges,86.8k,https://github.com/donnemartin/interactive-coding-challenges
TheAlgorithms,JavaScript,86.8k,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,86.8k,https://github.com/TheAlgorithms/C-Plus-Plus
keon,algorithms,86.8k,https://github.com/keon/algorithms
trekhleb,homemade-machine-learning,86.8k,https://github.com/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,86.8k,https://github.com/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,86.8k,https://github.com/AtsushiSakai/PythonRobotics
