username,repo_name,stars,repo_url
localstack,localstack,86.8k,https://github.com/localstack/localstack
serverless,serverless,86.8k,https://github.com/serverless/serverless
bregman-arie,devops-exercises,86.8k,https://github.com/bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,86.8k,https://github.com/donnemartin/data-science-ipython-notebooks
pulumi,pulumi,86.8k,https://github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,86.8k,https://github.com/ramitsurana/awesome-kubernetes
kubernetes-sigs,kubespray,86.8k,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,86.8k,https://github.com/aws/aws-cli
mozilla,sops,86.8k,https://github.com/mozilla/sops
donnemartin,awesome-aws,86.8k,https://github.com/donnemartin/awesome-aws
apereo,cas,86.8k,https://github.com/apereo/cas
serverless-stack,sst,86.8k,https://github.com/serverless-stack/sst
caprover,caprover,86.8k,https://github.com/caprover/caprover
aws,aws-cdk,86.8k,https://github.com/aws/aws-cdk
aws,chalice,86.8k,https://github.com/aws/chalice
aws-amplify,amplify-js,86.8k,https://github.com/aws-amplify/amplify-js
GoogleCloudPlatform,terraformer,86.8k,https://github.com/GoogleCloudPlatform/terraformer
angristan,openvpn-install,86.8k,https://github.com/angristan/openvpn-install
aws,serverless-application-model,86.8k,https://github.com/aws/serverless-application-model
google,go-cloud,86.8k,https://github.com/google/go-cloud
