username,repo_name,stars,repo_url
amphp,amp,86.8k,https://github.com/amphp/amp
danog,MadelineProto,86.8k,https://github.com/danog/MadelineProto
amphp,http-server,86.8k,https://github.com/amphp/http-server
unreal4u,telegram-api,86.8k,https://github.com/unreal4u/telegram-api
amphp,http-client,86.8k,https://github.com/amphp/http-client
amphp,parallel,86.8k,https://github.com/amphp/parallel
php-service-bus,service-bus,86.8k,https://github.com/php-service-bus/service-bus
amphp,byte-stream,86.8k,https://github.com/amphp/byte-stream
amphp,mysql,86.8k,https://github.com/amphp/mysql
amphp,parallel-functions,86.8k,https://github.com/amphp/parallel-functions
amphp,process,86.8k,https://github.com/amphp/process
amphp,socket,86.8k,https://github.com/amphp/socket
amphp,redis,86.8k,https://github.com/amphp/redis
amphp,dns,86.8k,https://github.com/amphp/dns
amphp,sync,86.8k,https://github.com/amphp/sync
kelunik,acme,86.8k,https://github.com/kelunik/acme
amphp,websocket-client,86.8k,https://github.com/amphp/websocket-client
PeeHaa,mailgrab,86.8k,https://github.com/PeeHaa/mailgrab
amphp,websocket-server,86.8k,https://github.com/amphp/websocket-server
amphp,serialization,86.8k,https://github.com/amphp/serialization
