username,repo_name,stars,repo_url
flutter,flutter,86.8k,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,86.8k,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,86.8k,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,86.8k,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,86.8k,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,86.8k,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,86.8k,https://github.com/Solido/awesome-flutter
square,okhttp,86.8k,https://github.com/square/okhttp
android,architecture-samples,86.8k,https://github.com/android/architecture-samples
square,retrofit,86.8k,https://github.com/square/retrofit
dcloudio,uni-app,86.8k,https://github.com/dcloudio/uni-app
fastlane,fastlane,86.8k,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,86.8k,https://github.com/PhilJay/MPAndroidChart
airbnb,lottie-android,86.8k,https://github.com/airbnb/lottie-android
bumptech,glide,86.8k,https://github.com/bumptech/glide
shadowsocks,shadowsocks-android,86.8k,https://github.com/shadowsocks/shadowsocks-android
laurent22,joplin,86.8k,https://github.com/laurent22/joplin
skylot,jadx,86.8k,https://github.com/skylot/jadx
Blankj,AndroidUtilCode,86.8k,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,86.8k,https://github.com/xitu/gold-miner
