username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,86.8k,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,86.8k,https://github.com/angular/angular
storybookjs,storybook,86.8k,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,86.8k,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,86.8k,https://github.com/ionic-team/ionic-framework
prettier,prettier,86.8k,https://github.com/prettier/prettier
SheetJS,sheetjs,86.8k,https://github.com/SheetJS/sheetjs
Asabeneh,30-Days-Of-JavaScript,86.8k,https://github.com/Asabeneh/30-Days-Of-JavaScript
angular,angular-cli,86.8k,https://github.com/angular/angular-cli
angular,components,86.8k,https://github.com/angular/components
NativeScript,NativeScript,86.8k,https://github.com/NativeScript/NativeScript
jhipster,generator-jhipster,86.8k,https://github.com/jhipster/generator-jhipster
goldbergyoni,javascript-testing-best-practices,86.8k,https://github.com/goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,86.8k,https://github.com/pubkey/rxdb
handsontable,handsontable,86.8k,https://github.com/handsontable/handsontable
teambit,bit,86.8k,https://github.com/teambit/bit
nrwl,nx,86.8k,https://github.com/nrwl/nx
sweetalert2,sweetalert2,86.8k,https://github.com/sweetalert2/sweetalert2
wailsapp,wails,86.8k,https://github.com/wailsapp/wails
sudheerj,javascript-interview-questions,86.8k,https://github.com/sudheerj/javascript-interview-questions
