username,repo_name,stars,repo_url
ansible,ansible,86.8k,https://github.com/ansible/ansible
bregman-arie,devops-exercises,86.8k,https://github.com/bregman-arie/devops-exercises
trailofbits,algo,86.8k,https://github.com/trailofbits/algo
StreisandEffect,streisand,86.8k,https://github.com/StreisandEffect/streisand
MichaelCade,90DaysOfDevOps,86.8k,https://github.com/MichaelCade/90DaysOfDevOps
kubernetes-sigs,kubespray,86.8k,https://github.com/kubernetes-sigs/kubespray
ansible,awx,86.8k,https://github.com/ansible/awx
easzlab,kubeasz,86.8k,https://github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,86.8k,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,86.8k,https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,86.8k,https://github.com/Tikam02/DevOps-Guide
ansible-semaphore,semaphore,86.8k,https://github.com/ansible-semaphore/semaphore
geerlingguy,mac-dev-playbook,86.8k,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,86.8k,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,86.8k,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,86.8k,https://github.com/clong/DetectionLab
netbootxyz,netboot.xyz,86.8k,https://github.com/netbootxyz/netboot.xyz
ansible-community,molecule,86.8k,https://github.com/ansible-community/molecule
litmuschaos,litmus,86.8k,https://github.com/litmuschaos/litmus
opendevops-cn,opendevops,86.8k,https://github.com/opendevops-cn/opendevops
