username,repo_name,stars,repo_url
arendst,Tasmota,86.8k,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,86.8k,https://github.com/MarlinFirmware/Marlin
arduino,Arduino,86.8k,https://github.com/arduino/Arduino
rwaldron,johnny-five,86.8k,https://github.com/rwaldron/johnny-five
tinygo-org,tinygo,86.8k,https://github.com/tinygo-org/tinygo
SpacehuhnTech,esp8266_deauther,86.8k,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,86.8k,https://github.com/espressif/arduino-esp32
hybridgroup,gobot,86.8k,https://github.com/hybridgroup/gobot
gurugio,lowlevelprogramming-university,86.8k,https://github.com/gurugio/lowlevelprogramming-university
platformio,platformio-core,86.8k,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,86.8k,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,86.8k,https://github.com/tzapu/WiFiManager
hybridgroup,cylon,86.8k,https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,86.8k,https://github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,86.8k,https://github.com/arduino/arduino-cli
blynkkk,blynk-library,86.8k,https://github.com/blynkkk/blynk-library
olikraus,u8g2,86.8k,https://github.com/olikraus/u8g2
NectarJS,nectarjs,86.8k,https://github.com/NectarJS/nectarjs
ClemensElflein,OpenMower,86.8k,https://github.com/ClemensElflein/OpenMower
Serial-Studio,Serial-Studio,86.8k,https://github.com/Serial-Studio/Serial-Studio
