username,repo_name,stars,repo_url
atom,atom,86.8k,https://github.com/atom/atom
themerdev,themer,86.8k,https://github.com/themerdev/themer
miniflux,v2,86.8k,https://github.com/miniflux/v2
nteract,hydrogen,86.8k,https://github.com/nteract/hydrogen
shd101wyy,markdown-preview-enhanced,86.8k,https://github.com/shd101wyy/markdown-preview-enhanced
atom,teletype,86.8k,https://github.com/atom/teletype
mmcdole,gofeed,86.8k,https://github.com/mmcdole/gofeed
mehcode,awesome-atom,86.8k,https://github.com/mehcode/awesome-atom
joefitzgerald,go-plus,86.8k,https://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,86.8k,https://github.com/Glavin001/atom-beautify
kurtmckee,feedparser,86.8k,https://github.com/kurtmckee/feedparser
simplepie,simplepie,86.8k,https://github.com/simplepie/simplepie
ocaml,merlin,86.8k,https://github.com/ocaml/merlin
t9md,atom-vim-mode-plus,86.8k,https://github.com/t9md/atom-vim-mode-plus
MagicStack,MagicPython,86.8k,https://github.com/MagicStack/MagicPython
atom,apm,86.8k,https://github.com/atom/apm
file-icons,atom,86.8k,https://github.com/file-icons/atom
NaiboWang,CommandlineConfig,86.8k,https://github.com/NaiboWang/CommandlineConfig
kettanaito,atomic-layout,86.8k,https://github.com/kettanaito/atomic-layout
fwcd,kotlin-language-server,86.8k,https://github.com/fwcd/kotlin-language-server
