username,repo_name,stars,repo_url
sindresorhus,awesome,86.8k,https://github.com/sindresorhus/awesome
vinta,awesome-python,86.8k,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,86.8k,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,86.8k,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,86.8k,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,86.8k,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,86.8k,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,86.8k,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,86.8k,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,86.8k,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,86.8k,https://github.com/sindresorhus/awesome-nodejs
MunGell,awesome-for-beginners,86.8k,https://github.com/MunGell/awesome-for-beginners
wasabeef,awesome-android-ui,86.8k,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,86.8k,https://github.com/Solido/awesome-flutter
prakhar1989,awesome-courses,86.8k,https://github.com/prakhar1989/awesome-courses
binhnguyennus,awesome-scalability,86.8k,https://github.com/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,86.8k,https://github.com/fffaraz/awesome-cpp
vsouza,awesome-ios,86.8k,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,86.8k,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,86.8k,https://github.com/dypsilon/frontend-dev-bookmarks
