username,repo_name,stars,repo_url
bregman-arie,devops-exercises,86.8k,https://github.com/bregman-arie/devops-exercises
microsoft,recommenders,86.8k,https://github.com/microsoft/recommenders
pulumi,pulumi,86.8k,https://github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,86.8k,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,86.8k,https://github.com/Azure/azure-quickstart-templates
mozilla,sops,86.8k,https://github.com/mozilla/sops
caprover,caprover,86.8k,https://github.com/caprover/caprover
microsoft,computervision-recipes,86.8k,https://github.com/microsoft/computervision-recipes
google,go-cloud,86.8k,https://github.com/google/go-cloud
infracost,infracost,86.8k,https://github.com/infracost/infracost
microsoft,azuredatastudio,86.8k,https://github.com/microsoft/azuredatastudio
node-formidable,formidable,86.8k,https://github.com/node-formidable/formidable
midwayjs,midway,86.8k,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,86.8k,https://github.com/thangchung/clean-code-dotnet
aquasecurity,tfsec,86.8k,https://github.com/aquasecurity/tfsec
budtmo,docker-android,86.8k,https://github.com/budtmo/docker-android
bridgecrewio,checkov,86.8k,https://github.com/bridgecrewio/checkov
nccgroup,ScoutSuite,86.8k,https://github.com/nccgroup/ScoutSuite
cloud-custodian,cloud-custodian,86.8k,https://github.com/cloud-custodian/cloud-custodian
Azure,azure-sdk-for-net,86.8k,https://github.com/Azure/azure-sdk-for-net
