username,repo_name,stars,repo_url
babel,babel,86.8k,https://github.com/babel/babel
swc-project,swc,86.8k,https://github.com/swc-project/swc
nylas,nylas-mail,86.8k,https://github.com/nylas/nylas-mail
kriasoft,react-starter-kit,86.8k,https://github.com/kriasoft/react-starter-kit
electron-react-boilerplate,electron-react-boilerplate,86.8k,https://github.com/electron-react-boilerplate/electron-react-boilerplate
avajs,ava,86.8k,https://github.com/avajs/ava
SimulatedGREG,electron-vue,86.8k,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,86.8k,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,86.8k,https://github.com/jamiebuilds/babel-handbook
grommet,grommet,86.8k,https://github.com/grommet/grommet
developit,htm,86.8k,https://github.com/developit/htm
ben-rogerson,twin.macro,86.8k,https://github.com/ben-rogerson/twin.macro
angular-fullstack,generator-angular-fullstack,86.8k,https://github.com/angular-fullstack/generator-angular-fullstack
documentationjs,documentation,86.8k,https://github.com/documentationjs/documentation
insin,nwb,86.8k,https://github.com/insin/nwb
thinkjs,thinkjs,86.8k,https://github.com/thinkjs/thinkjs
egoist,poi,86.8k,https://github.com/egoist/poi
fkling,astexplorer,86.8k,https://github.com/fkling/astexplorer
transitive-bullshit,create-react-library,86.8k,https://github.com/transitive-bullshit/create-react-library
duxianwei520,react,86.8k,https://github.com/duxianwei520/react
