username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,86.8k,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,86.8k,https://github.com/nvm-sh/nvm
junegunn,fzf,86.8k,https://github.com/junegunn/fzf
google,zx,86.8k,https://github.com/google/zx
dylanaraps,pure-bash-bible,86.8k,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,86.8k,https://github.com/LeCoupa/awesome-cheatsheets
koalaman,shellcheck,86.8k,https://github.com/koalaman/shellcheck
starship,starship,86.8k,https://github.com/starship/starship
acmesh-official,acme.sh,86.8k,https://github.com/acmesh-official/acme.sh
mathiasbynens,dotfiles,86.8k,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,86.8k,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,86.8k,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,86.8k,https://github.com/withfig/autocomplete
dylanaraps,neofetch,86.8k,https://github.com/dylanaraps/neofetch
Nyr,openvpn-install,86.8k,https://github.com/Nyr/openvpn-install
rbenv,rbenv,86.8k,https://github.com/rbenv/rbenv
powerline,powerline,86.8k,https://github.com/powerline/powerline
shelljs,shelljs,86.8k,https://github.com/shelljs/shelljs
Bash-it,bash-it,86.8k,https://github.com/Bash-it/bash-it
faressoft,terminalizer,86.8k,https://github.com/faressoft/terminalizer
