username,repo_name,stars,repo_url
bitcoin,bitcoin,86.8k,https://github.com/bitcoin/bitcoin
ccxt,ccxt,86.8k,https://github.com/ccxt/ccxt
freqtrade,freqtrade,86.8k,https://github.com/freqtrade/freqtrade
HelloZeroNet,ZeroNet,86.8k,https://github.com/HelloZeroNet/ZeroNet
askmike,gekko,86.8k,https://github.com/askmike/gekko
solana-labs,solana,86.8k,https://github.com/solana-labs/solana
bbfamily,abu,86.8k,https://github.com/bbfamily/abu
dvf,blockchain,86.8k,https://github.com/dvf/blockchain
lbryio,lbry-sdk,86.8k,https://github.com/lbryio/lbry-sdk
lightningnetwork,lnd,86.8k,https://github.com/lightningnetwork/lnd
yeasy,blockchain_guide,86.8k,https://github.com/yeasy/blockchain_guide
spesmilo,electrum,86.8k,https://github.com/spesmilo/electrum
butor,blackbird,86.8k,https://github.com/butor/blackbird
btcsuite,btcd,86.8k,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,86.8k,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,86.8k,https://github.com/bitcoinj/bitcoinj
jesse-ai,jesse,86.8k,https://github.com/jesse-ai/jesse
CryptoSignal,Crypto-Signal,86.8k,https://github.com/CryptoSignal/Crypto-Signal
bisq-network,bisq,86.8k,https://github.com/bisq-network/bisq
coinpride,CryptoList,86.8k,https://github.com/coinpride/CryptoList
