username,repo_name,stars,repo_url
ccxt,ccxt,86.8k,https://github.com/ccxt/ccxt
discordjs,discord.js,86.8k,https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,86.8k,https://github.com/python-telegram-bot/python-telegram-bot
hubotio,hubot,86.8k,https://github.com/hubotio/hubot
RasaHQ,rasa,86.8k,https://github.com/RasaHQ/rasa
InstaPy,InstaPy,86.8k,https://github.com/InstaPy/InstaPy
wechaty,wechaty,86.8k,https://github.com/wechaty/wechaty
gunthercox,ChatterBot,86.8k,https://github.com/gunthercox/ChatterBot
tgbot-collection,YYeTsBot,86.8k,https://github.com/tgbot-collection/YYeTsBot
Rapptz,discord.py,86.8k,https://github.com/Rapptz/discord.py
leon-ai,leon,86.8k,https://github.com/leon-ai/leon
howdyai,botkit,86.8k,https://github.com/howdyai/botkit
botpress,botpress,86.8k,https://github.com/botpress/botpress
sfyc23,EverydayWechat,86.8k,https://github.com/sfyc23/EverydayWechat
pedroslopez,whatsapp-web.js,86.8k,https://github.com/pedroslopez/whatsapp-web.js
microsoft,ailab,86.8k,https://github.com/microsoft/ailab
microsoft,botframework-sdk,86.8k,https://github.com/microsoft/botframework-sdk
EZFNDEV,EZFN-Lobbybot,86.8k,https://github.com/EZFNDEV/EZFN-Lobbybot
yagop,node-telegram-bot-api,86.8k,https://github.com/yagop/node-telegram-bot-api
Mrs4s,go-cqhttp,86.8k,https://github.com/Mrs4s/go-cqhttp
