username,repo_name,stars,repo_url
CyC2018,CS-Notes,86.8k,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,86.8k,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,86.8k,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,86.8k,https://github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,86.8k,https://github.com/x64dbg/x64dbg
youngyangyang04,leetcode-master,86.8k,https://github.com/youngyangyang04/leetcode-master
carbon-language,carbon-lang,86.8k,https://github.com/carbon-language/carbon-lang
huihut,interview,86.8k,https://github.com/huihut/interview
microsoft,calculator,86.8k,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,86.8k,https://github.com/CMU-Perceptual-Computing-Lab/openpose
yuzu-emu,yuzu,86.8k,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,86.8k,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,86.8k,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,86.8k,https://github.com/ethereum/solidity
doocs,leetcode,86.8k,https://github.com/doocs/leetcode
microsoft,vcpkg,86.8k,https://github.com/microsoft/vcpkg
gabime,spdlog,86.8k,https://github.com/gabime/spdlog
dragonflydb,dragonfly,86.8k,https://github.com/dragonflydb/dragonfly
catchorg,Catch2,86.8k,https://github.com/catchorg/Catch2
ssloy,tinyrenderer,86.8k,https://github.com/ssloy/tinyrenderer
