username,repo_name,stars,repo_url
Genymobile,scrcpy,86.8k,https://github.com/Genymobile/scrcpy
neovim,neovim,86.8k,https://github.com/neovim/neovim
git,git,86.8k,https://github.com/git/git
obsproject,obs-studio,86.8k,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,86.8k,https://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,86.8k,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,86.8k,https://github.com/FFmpeg/FFmpeg
vim,vim,86.8k,https://github.com/vim/vim
curl,curl,86.8k,https://github.com/curl/curl
huihut,interview,86.8k,https://github.com/huihut/interview
ggreer,the_silver_searcher,86.8k,https://github.com/ggreer/the_silver_searcher
pbatard,rufus,86.8k,https://github.com/pbatard/rufus
mpv-player,mpv,86.8k,https://github.com/mpv-player/mpv
ossrs,srs,86.8k,https://github.com/ossrs/srs
ruby,ruby,86.8k,https://github.com/ruby/ruby
google,flatbuffers,86.8k,https://github.com/google/flatbuffers
oracle,graal,86.8k,https://github.com/oracle/graal
radareorg,radare2,86.8k,https://github.com/radareorg/radare2
microsoft,vcpkg,86.8k,https://github.com/microsoft/vcpkg
kovidgoyal,kitty,86.8k,https://github.com/kovidgoyal/kitty
