username,repo_name,stars,repo_url
CSSEGISandData,COVID-19,86.8k,https://github.com/CSSEGISandData/COVID-19
nytimes,covid-19-data,86.8k,https://github.com/nytimes/covid-19-data
covid19india,covid19india-react,86.8k,https://github.com/covid19india/covid19india-react
tokyo-metropolitan-gov,covid19,86.8k,https://github.com/tokyo-metropolitan-gov/covid19
owid,covid-19-data,86.8k,https://github.com/owid/covid-19-data
pcm-dpc,COVID-19,86.8k,https://github.com/pcm-dpc/COVID-19
ieee8023,covid-chestxray-dataset,86.8k,https://github.com/ieee8023/covid-chestxray-dataset
disease-sh,API,86.8k,https://github.com/disease-sh/API
geohot,corona,86.8k,https://github.com/geohot/corona
WorldHealthOrganization,app,86.8k,https://github.com/WorldHealthOrganization/app
corona-warn-app,cwa-server,86.8k,https://github.com/corona-warn-app/cwa-server
ahmadawais,corona-cli,86.8k,https://github.com/ahmadawais/corona-cli
github,covid19-dashboard,86.8k,https://github.com/github/covid19-dashboard
ExpDev07,coronavirus-tracker-api,86.8k,https://github.com/ExpDev07/coronavirus-tracker-api
soroushchehresa,awesome-coronavirus,86.8k,https://github.com/soroushchehresa/awesome-coronavirus
mhdhejazi,CoronaTracker,86.8k,https://github.com/mhdhejazi/CoronaTracker
neherlab,covid19_scenarios,86.8k,https://github.com/neherlab/covid19_scenarios
chandrikadeb7,Face-Mask-Detection,86.8k,https://github.com/chandrikadeb7/Face-Mask-Detection
pomber,covid19,86.8k,https://github.com/pomber/covid19
covidpass-org,covidpass,86.8k,https://github.com/covidpass-org/covidpass
