username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,86.8k,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,86.8k,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,86.8k,https://github.com/refined-github/refined-github
darkreader,darkreader,86.8k,https://github.com/darkreader/darkreader
checkly,headless-recorder,86.8k,https://github.com/checkly/headless-recorder
unbug,codelf,86.8k,https://github.com/unbug/codelf
Anarios,return-youtube-dislike,86.8k,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,86.8k,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,86.8k,https://github.com/gildas-lormeau/SingleFile
listen1,listen1_chrome_extension,86.8k,https://github.com/listen1/listen1_chrome_extension
dailydotdev,daily,86.8k,https://github.com/dailydotdev/daily
appbaseio,dejavu,86.8k,https://github.com/appbaseio/dejavu
alyssaxuu,screenity,86.8k,https://github.com/alyssaxuu/screenity
Kenshin,simpread,86.8k,https://github.com/Kenshin/simpread
ajayyy,SponsorBlock,86.8k,https://github.com/ajayyy/SponsorBlock
AutomaApp,automa,86.8k,https://github.com/AutomaApp/automa
alyssaxuu,omni,86.8k,https://github.com/alyssaxuu/omni
dessant,buster,86.8k,https://github.com/dessant/buster
manojVivek,medium-unlimited,86.8k,https://github.com/manojVivek/medium-unlimited
webclipper,web-clipper,86.8k,https://github.com/webclipper/web-clipper
