username,repo_name,stars,repo_url
electron,electron,86.8k,https://github.com/electron/electron
puppeteer,puppeteer,86.8k,https://github.com/puppeteer/puppeteer
microsoft,playwright,86.8k,https://github.com/microsoft/playwright
FiloSottile,mkcert,86.8k,https://github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,86.8k,https://github.com/iamadamdev/bypass-paywalls-chrome
ovity,octotree,86.8k,https://github.com/ovity/octotree
jaywcjlove,linux-command,86.8k,https://github.com/jaywcjlove/linux-command
segmentio,nightmare,86.8k,https://github.com/segmentio/nightmare
checkly,headless-recorder,86.8k,https://github.com/checkly/headless-recorder
google,WebFundamentals,86.8k,https://github.com/google/WebFundamentals
prisma-archive,chromeless,86.8k,https://github.com/prisma-archive/chromeless
casesandberg,react-color,86.8k,https://github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,86.8k,https://github.com/GoogleChrome/chrome-extensions-samples
crimx,ext-saladict,86.8k,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,86.8k,https://github.com/gildas-lormeau/SingleFile
MetaMask,metamask-extension,86.8k,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,86.8k,https://github.com/chromedp/chromedp
uBlock-LLC,uBlock,86.8k,https://github.com/uBlock-LLC/uBlock
alvarcarto,url-to-pdf-api,86.8k,https://github.com/alvarcarto/url-to-pdf-api
moonD4rk,HackBrowserData,86.8k,https://github.com/moonD4rk/HackBrowserData
