username,repo_name,stars,repo_url
metabase,metabase,86.8k,https://github.com/metabase/metabase
penpot,penpot,86.8k,https://github.com/penpot/penpot
logseq,logseq,86.8k,https://github.com/logseq/logseq
deeplearning4j,deeplearning4j,86.8k,https://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,86.8k,https://github.com/LightTable/LightTable
kanaka,mal,86.8k,https://github.com/kanaka/mal
lk-geimfari,awesomo,86.8k,https://github.com/lk-geimfari/awesomo
tonsky,datascript,86.8k,https://github.com/tonsky/datascript
reagent-project,reagent,86.8k,https://github.com/reagent-project/reagent
riemann,riemann,86.8k,https://github.com/riemann/riemann
weavejester,compojure,86.8k,https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,86.8k,https://github.com/bbatsov/clojure-style-guide
izhangzhihao,intellij-rainbow-brackets,86.8k,https://github.com/izhangzhihao/intellij-rainbow-brackets
status-im,status-mobile,86.8k,https://github.com/status-im/status-mobile
ring-clojure,ring,86.8k,https://github.com/ring-clojure/ring
clojure-emacs,cider,86.8k,https://github.com/clojure-emacs/cider
babashka,babashka,86.8k,https://github.com/babashka/babashka
viebel,klipse,86.8k,https://github.com/viebel/klipse
tallesl,Rich-Hickey-fanclub,86.8k,https://github.com/tallesl/Rich-Hickey-fanclub
bhauman,lein-figwheel,86.8k,https://github.com/bhauman/lein-figwheel
