username,repo_name,stars,repo_url
realm,SwiftLint,86.8k,https://github.com/realm/SwiftLint
facebook,infer,86.8k,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,86.8k,https://github.com/analysis-tools-dev/static-analysis
Kristories,awesome-guidelines,86.8k,https://github.com/Kristories/awesome-guidelines
checkstyle,checkstyle,86.8k,https://github.com/checkstyle/checkstyle
SonarSource,sonarqube,86.8k,https://github.com/SonarSource/sonarqube
facebook,pyre-check,86.8k,https://github.com/facebook/pyre-check
reviewdog,reviewdog,86.8k,https://github.com/reviewdog/reviewdog
detekt,detekt,86.8k,https://github.com/detekt/detekt
simplecov-ruby,simplecov,86.8k,https://github.com/simplecov-ruby/simplecov
import-js,eslint-plugin-import,86.8k,https://github.com/import-js/eslint-plugin-import
PyCQA,pylint,86.8k,https://github.com/PyCQA/pylint
pmd,pmd,86.8k,https://github.com/pmd/pmd
phpro,grumphp,86.8k,https://github.com/phpro/grumphp
trekhleb,state-of-the-art-shitcode,86.8k,https://github.com/trekhleb/state-of-the-art-shitcode
htmlhint,HTMLHint,86.8k,https://github.com/htmlhint/HTMLHint
kucherenko,jscpd,86.8k,https://github.com/kucherenko/jscpd
codeclimate,codeclimate,86.8k,https://github.com/codeclimate/codeclimate
wemake-services,wemake-python-styleguide,86.8k,https://github.com/wemake-services/wemake-python-styleguide
uber,piranha,86.8k,https://github.com/uber/piranha
