username,repo_name,stars,repo_url
ovity,octotree,86.8k,https://github.com/ovity/octotree
gitpod-io,gitpod,86.8k,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,86.8k,https://github.com/reviewdog/reviewdog
danger,danger,86.8k,https://github.com/danger/danger
danger,danger-js,86.8k,https://github.com/danger/danger-js
joho,awesome-code-review,86.8k,https://github.com/joho/awesome-code-review
ajinabraham,nodejsscan,86.8k,https://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,86.8k,https://github.com/microsoft/vscode-pull-request-github
houndci,hound,86.8k,https://github.com/houndci/hound
mbj,mutant,86.8k,https://github.com/mbj/mutant
crev-dev,cargo-crev,86.8k,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,86.8k,https://github.com/reviewboard/reviewboard
Tencent,CodeAnalysis,86.8k,https://github.com/Tencent/CodeAnalysis
ryanmcdermott,code-review-tips,86.8k,https://github.com/ryanmcdermott/code-review-tips
bit4woo,python_sec,86.8k,https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,86.8k,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,86.8k,https://github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,86.8k,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,86.8k,https://github.com/enlightn/enlightn
palantir,policy-bot,86.8k,https://github.com/palantir/policy-bot
