username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,86.8k,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,86.8k,https://github.com/junegunn/fzf
sharkdp,bat,86.8k,https://github.com/sharkdp/bat
sherlock-project,sherlock,86.8k,https://github.com/sherlock-project/sherlock
google,zx,86.8k,https://github.com/google/zx
wagoodman,dive,86.8k,https://github.com/wagoodman/dive
BurntSushi,ripgrep,86.8k,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,86.8k,https://github.com/chubin/cheat.sh
jesseduffield,lazygit,86.8k,https://github.com/jesseduffield/lazygit
cli,cli,86.8k,https://github.com/cli/cli
spf13,cobra,86.8k,https://github.com/spf13/cobra
n8n-io,n8n,86.8k,https://github.com/n8n-io/n8n
angular,angular-cli,86.8k,https://github.com/angular/angular-cli
alebcay,awesome-shell,86.8k,https://github.com/alebcay/awesome-shell
sharkdp,fd,86.8k,https://github.com/sharkdp/fd
httpie,httpie,86.8k,https://github.com/httpie/httpie
ibraheemdev,modern-unix,86.8k,https://github.com/ibraheemdev/modern-unix
google,python-fire,86.8k,https://github.com/google/python-fire
tqdm,tqdm,86.8k,https://github.com/tqdm/tqdm
vercel,pkg,86.8k,https://github.com/vercel/pkg
