username,repo_name,stars,repo_url
vercel,next.js,86.8k,https://github.com/vercel/next.js
rust-lang,rust,86.8k,https://github.com/rust-lang/rust
sveltejs,svelte,86.8k,https://github.com/sveltejs/svelte
webpack,webpack,86.8k,https://github.com/webpack/webpack
gatsbyjs,gatsby,86.8k,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,86.8k,https://github.com/JetBrains/kotlin
babel,babel,86.8k,https://github.com/babel/babel
parcel-bundler,parcel,86.8k,https://github.com/parcel-bundler/parcel
evanw,esbuild,86.8k,https://github.com/evanw/esbuild
vlang,v,86.8k,https://github.com/vlang/v
markedjs,marked,86.8k,https://github.com/markedjs/marked
carbon-language,carbon-lang,86.8k,https://github.com/carbon-language/carbon-lang
swc-project,swc,86.8k,https://github.com/swc-project/swc
vercel,pkg,86.8k,https://github.com/vercel/pkg
v8,v8,86.8k,https://github.com/v8/v8
ziglang,zig,86.8k,https://github.com/ziglang/zig
AssemblyScript,assemblyscript,86.8k,https://github.com/AssemblyScript/assemblyscript
nim-lang,Nim,86.8k,https://github.com/nim-lang/Nim
Konloch,bytecode-viewer,86.8k,https://github.com/Konloch/bytecode-viewer
RustPython,RustPython,86.8k,https://github.com/RustPython/RustPython
