username,repo_name,stars,repo_url
localstack,localstack,86.8k,https://github.com/localstack/localstack
harness,drone,86.8k,https://github.com/harness/drone
jenkinsci,jenkins,86.8k,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,86.8k,https://github.com/auchenberg/volkswagen
theonedev,onedev,86.8k,https://github.com/theonedev/onedev
openshift,origin,86.8k,https://github.com/openshift/origin
dagger,dagger,86.8k,https://github.com/dagger/dagger
concourse,concourse,86.8k,https://github.com/concourse/concourse
gocd,gocd,86.8k,https://github.com/gocd/gocd
buildbot,buildbot,86.8k,https://github.com/buildbot/buildbot
gaia-pipeline,gaia,86.8k,https://github.com/gaia-pipeline/gaia
Strider-CD,strider,86.8k,https://github.com/Strider-CD/strider
jenkins-x,jx,86.8k,https://github.com/jenkins-x/jx
ovh,cds,86.8k,https://github.com/ovh/cds
xcpretty,xcpretty,86.8k,https://github.com/xcpretty/xcpretty
hygieia,hygieia,86.8k,https://github.com/hygieia/hygieia
iterative,cml,86.8k,https://github.com/iterative/cml
cake-build,cake,86.8k,https://github.com/cake-build/cake
werf,werf,86.8k,https://github.com/werf/werf
JamesIves,github-pages-deploy-action,86.8k,https://github.com/JamesIves/github-pages-deploy-action
